Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
39469,6P-IT,864691136010968739,272496,231360,26565
39470,6P-IT,864691135162209325,273104,235904,26614
39471,6P-IT,864691135476100008,273312,233584,26679
39472,6P-IT,864691135667852740,273312,238432,26687
39474,6P-CT,864691135884193136,268784,230256,26253
39475,6P-CT,864691135758831438,274160,241744,24429
39476,23P,864691136329262570,282704,86816,16712
39477,6P-CT,864691136065820568,277152,230080,24865
39478,6P-IT,864691136194395094,262656,234496,25290
39479,6P-IT,864691135544711464,268176,239856,25901
39480,6P-IT,864691136903030706,276048,240016,26877
39481,6P-IT,864691135850462663,276400,239072,22919
39483,6P-CT,864691135777116093,263088,233504,23699
39484,6P-CT,864691135777116605,263472,228480,24015
39485,5P-IT,864691136601887953,203632,172512,15865
39487,6P-CT,864691135683958711,265536,233392,23986
39488,6P-CT,864691135385355605,266576,236752,23974
39489,6P-CT,864691135358853464,266752,237968,23774
39490,6P-CT,864691135445639826,269584,225840,23476
39491,6P-CT,864691135570740717,269952,236736,24052
39492,6P-IT,864691135393967093,271040,227584,23694
39493,6P-CT,864691135925520398,272032,239120,24029
39495,23P,864691136236829711,344320,110992,19603
39498,6P-CT,864691135697649429,268400,233808,23932
39499,6P-CT,864691135012861942,268624,229856,23724
39500,6P-IT,864691136227269457,270048,232832,23865
39501,6P-CT,864691135012868342,276384,227360,26852
39503,6P-IT,864691136923076580,262064,227904,23527
39504,6P-CT,864691135348608215,274512,240288,26618
39505,6P-CT,864691136966038734,278048,237360,23252
39506,6P-CT,864691135341352901,268208,240176,24011
39507,6P-CT,864691135754058701,268064,230752,23470
39509,23P,864691135359040088,111440,138800,17545
39510,5P-IT,864691136723828221,223680,208096,21812
39511,6P-IT,864691135462703934,263584,243968,17897
39512,5P-NP,864691136040977494,265248,246032,17456
39513,6P-IT,864691136333751475,265856,241888,17924
39514,6P-IT,864691135589908747,268208,243456,17625
39515,6P-IT,864691135058587803,264784,251776,18509
39516,6P-CT,864691137019569518,266896,253104,18641
39518,5P-ET,864691135697673237,270000,244928,17987
39519,6P-CT,864691135815845711,276256,243840,17997
39521,6P-IT,864691136194019030,273120,247408,18782
39522,6P-IT,864691135780791632,275312,246448,18634
39523,6P-IT,864691136418633367,278544,245792,18176
39525,6P-IT,864691135644701679,263488,245136,18993
39526,6P-IT,864691136008402348,264624,244032,18824
39527,6P-IT,864691135385358677,267632,242368,18980
39528,5P-ET,864691136577619220,263792,244096,18169
39529,6P-IT,864691135366952697,268448,243344,19372
39530,6P-CT,864691135988318976,268944,245792,19179
39531,6P-CT,864691135467532684,269184,251248,18854
39532,6P-IT,864691136866806638,270448,243328,19190
39533,6P-CT,864691135815499087,272544,252112,19177
39534,6P-CT,864691135965542346,273168,253472,19006
39535,6P-CT,864691135730113721,276144,248576,19418
39536,6P-IT,864691135782432051,276448,245904,19394
39537,6P-IT,864691136989938325,276896,243024,19102
39538,6P-IT,864691136143423796,263424,248320,20288
39539,6P-CT,864691135571300645,264880,248720,19799
39540,6P-CT,864691135303160231,264896,245024,19709
39541,6P-IT,864691135858701416,266336,243552,20226
39542,6P-CT,864691135683965111,268688,247120,19924
39543,5P-ET,864691135799854434,268368,250816,18923
39544,5P-IT,864691135858841448,311408,199344,22573
39545,6P-IT,864691136010975651,268672,246560,19578
39546,6P-IT,864691136723575037,269200,250320,19838
39547,6P-IT,864691135393978101,269936,241968,19582
39549,6P-CT,864691135428511536,271008,244912,20080
39550,6P-IT,864691135462742590,271568,252576,20160
